enabled,dataset_id,board,market_segment,inventory_type,geography_code,geography_name,property_type_code,property_type,nc_code,metric_code,metric,frequency,period,status,notes
TRUE,sardis_condo_asp,CADREB,Resale,Residential,5051,H70 - Sardis,32,Condo,4,asp,Average Sale Price,monthly,100,active,Generated from lookup tables.
TRUE,sardis_condo_apsf,CADREB,Resale,Residential,5051,H70 - Sardis,32,Condo,4,apsf,Average $/Sq Ft,monthly,100,active,Generated from lookup tables.
TRUE,sardis_condo_cs,CADREB,Resale,Residential,5051,H70 - Sardis,32,Condo,4,cs,Unit Sales,monthly,100,active,Generated from lookup tables.
TRUE,sardis_condo_adom,CADREB,Resale,Residential,5051,H70 - Sardis,32,Condo,4,adom,Average Days on Market,monthly,100,active,Generated from lookup tables.
TRUE,sardis_condo_nl,CADREB,Resale,Residential,5051,H70 - Sardis,32,Condo,4,nl,New Listings,monthly,100,active,Generated from lookup tables.
TRUE,sardis_condo_inv,CADREB,Resale,Residential,5051,H70 - Sardis,32,Condo,4,inv,Total Inventory,monthly,100,active,Generated from lookup tables.
TRUE,sardis_condo_apop,CADREB,Resale,Residential,5051,H70 - Sardis,32,Condo,4,apop,% Original Price,monthly,100,active,Generated from lookup tables.
TRUE,sardis_condo_star,CADREB,Resale,Residential,5051,H70 - Sardis,32,Condo,4,star,Sell Through Rate,monthly,100,active,Generated from lookup tables.
TRUE,sardis_townhouse_asp,CADREB,Resale,Residential,5051,H70 - Sardis,64,Townhouse,4,asp,Average Sale Price,monthly,100,active,Generated from lookup tables.
TRUE,sardis_townhouse_apsf,CADREB,Resale,Residential,5051,H70 - Sardis,64,Townhouse,4,apsf,Average $/Sq Ft,monthly,100,active,Generated from lookup tables.
TRUE,sardis_townhouse_cs,CADREB,Resale,Residential,5051,H70 - Sardis,64,Townhouse,4,cs,Unit Sales,monthly,100,active,Generated from lookup tables.
