enabled,dataset_id,board,market_segment,inventory_type,geography_code,geography_name,property_type_code,property_type,nc_code,metric_code,metric,frequency,period,status,notes
TRUE,sardis_condo_asp,CADREB,Resale,Residential,5051,H70 - Sardis,32,Condo,4,asp,Average Sale Price,monthly,100,active,Validated
TRUE,mission_condo_asp,CADREB,Resale,Residential,5042,F80 - Mission,32,Condo,4,asp,Average Sale Price,monthly,100,active,Validated
TRUE,abbotsford_condo_asp,CADREB,Resale,Residential,5041,Abbotsford,32,Condo,4,asp,Average Sale Price,monthly,100,active,Validated
TRUE,vancouver_condo_asp,CADREB,Resale,Residential,5012,V - Vancouver,32,Condo,4,asp,Average Sale Price,monthly,100,active,Validated
TRUE,langley_condo_asp,CADREB,Resale,Residential,5040,F60 - Langley,32,Condo,4,asp,Average Sale Price,monthly,100,active,Validated
TRUE,sardis_condo_apsf,CADREB,Resale,Residential,5051,H70 - Sardis,32,Condo,4,apsf,Average $/Sq Ft,monthly,100,active,Validated
TRUE,mission_condo_apsf,CADREB,Resale,Residential,5042,F80 - Mission,32,Condo,4,apsf,Average $/Sq Ft,monthly,100,active,Validated
TRUE,abbotsford_condo_apsf,CADREB,Resale,Residential,5041,F70 - Abbotsford,32,Condo,4,apsf,Average $/Sq Ft,monthly,100,active,Validated
TRUE,vancouver_condo_apsf,CADREB,Resale,Residential,5012,V - Vancouver,32,Condo,4,apsf,Average $/Sq Ft,monthly,100,active,Validated
TRUE,langley_condo_apsf,CADREB,Resale,Residential,5040,F60 - Langley,32,Condo,4,apsf,Average $/Sq Ft,monthly,100,active,Validated
